Category,Series_Entity,Short_Name,Long_Name,UUID
"Balloons/Rockets","","BALLOONS","","a1586112-38f5-461c-9e88-0a95cf62062c"
"Balloons/Rockets","","DROPWINDSONDES","","fa514134-ff56-47d1-bc02-6b8568ad21e7"
"Balloons/Rockets","","EOLE","","95707b1d-4451-4958-af57-0fdf70444cac"
"Balloons/Rockets","","MAXIS","MeV Auroral X-ray Imaging and Spectroscopy","a1cfc5a9-e688-4f2e-88b0-9d72d07ea41a"
"Balloons/Rockets","","PIBAL","Pilot Balloons","dbb82f09-3a6f-4840-b1a9-c4acc3f6bbe8"
"Balloons/Rockets","","RADIOSONDES","","2516981b-e560-479d-ba96-f8edfb54efe9"
"Balloons/Rockets","","ROCKETS","","c2a3f38e-524a-46ee-ac1b-2a12910e6bdd"
"Balloons/Rockets","","SOUNDING ROCKETS","","3b3bc1cb-312d-448c-8cdf-a8de43bb540a"
"Balloons/Rockets","","Titan 34D","","9e9e86b0-d613-4069-abe2-8291a6fac3ef"
"Balloons/Rockets","","Titan IIID","","a044e8ff-8225-4bba-85c4-80ea394e007b"
"Balloons/Rockets","","","","2196cc92-a5da-4233-9509-5523385da1d7"

