"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/AAAB","Advanced Architecture and Automation Branch, Goddard Space Flight Center, NASA","http://aaaprod.gsfc.nasa.gov/","1af0d6d8-ed19-41d2-b5fe-d86b562adfef"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/CARSTAD","Center for Airborne Remote Sensing and Technology and Applications Development, Earth Observing System, Goddard Space Flight Center, NASA","http://carstad.gsfc.nasa.gov/","bbbb0bc5-ff07-4d8a-a120-51d349607753"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/EOSDIS/EMD","Maintenance and Development, Earth Observing System Data and Information System, Earth Observing System,Goddard Space Flight Center, NASA","http://newsroom.gsfc.nasa.gov/","394758bd-e21f-40d8-b4db-fbee77d74755"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/EO","Earth Observatory, Earth Observing System, Goddard Space Flight Center, NASA","https://earthobservatory.nasa.gov/","cf401964-5a63-4c40-872a-5ecbd6ca66ab"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/ESDIS/LANCE MODIS FIRMS","Land, Atmosphere Near real-time Capability for EOS (LANCE) Moderate Resolution Imaging Spectroradiometer (MODIS) Fire Information for Resource Management System (FIRMS)","https://earthdata.nasa.gov/data/near-real-time-data/firms","97cef66a-1523-472f-b154-dabbbc9b10ff"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/ESDIS/LANCE MODIS","Land, Atmosphere Near real-time Capability for EOS (LANCE) Moderate Resolution Imaging Spectroradiometer (MODIS)","https://earthdata.nasa.gov/earth-observation-data/near-real-time/download-nrt-data/modis-nrt","593ea562-e43b-4e75-af24-e3723cb70ee8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/ESDIS/NEO","NASA Earth Observations, Earth Science Data and Information System Project, Earth Observing System,Goddard Space Flight Center, NASA","https://neo.sci.gsfc.nasa.gov/","99b2d665-58e1-472e-b73c-581c88235951"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/ESDIS","Earth Science Data and Information System Project, Earth Observing System,Goddard Space Flight Center, NASA","https://earthdata.nasa.gov/about/esdis-project","9d74b626-b2cb-4004-a7af-966d57a53794"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/PO","Program Office, Earth Observing System, Goddard Space Flight Center, NASA","https://eospso.gsfc.nasa.gov/","a48bd8e5-5bda-46e8-b6f5-cbe5234d9419"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/EOS/WMP","Water Management Project Office, Earth Observing System, Goddard Space Flight Center, NASA","http://wmp.gsfc.nasa.gov/","7319e646-cdb5-4471-8002-f73b302e7cac"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/GEDI","Global Ecosystem Dynamics Investigation, Goddard Space Flight Center, NASA","","e9e88e8f-6479-4041-91e0-2365c1d1b6a5"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/GIO","Geospatial Interoperability Office, Goddard Space Flight Center, NASA","http://gio.gsfc.nasa.gov/","f2b59086-1174-4a70-a17e-936b9b154f45"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/GMAT","GMAT Project, Goddard Space Flight Center, NASA","https://gmat.gsfc.nasa.gov/","489122fc-4f94-4a0d-8ed6-45e1ac1042ee"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/ODPS","Ocean Discipline Processing System, Goddard Space Flight Center, NASA","https://oceancolor.gsfc.nasa.gov/","38f4939e-c2f8-44ad-99f6-9a179420a252"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/OMISIPS","OZONE MONITORING INSTRUMENT (OMI) SIPS","https://earthdata.nasa.gov/about/science-investigator-led-processing-systems/sips-omi","557e9df4-f2f2-4d52-8788-c32aaf07e8b5"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/OSS","Open Source Software, Goddard Space Flight Center, NASA","https://opensource.gsfc.nasa.gov/","0e1e8192-fcd0-4b6d-87c1-ce9848979575"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/PUMAS","Practical Uses of Math And Science, Goddard Space Flight Center, NASA","https://pumas.gsfc.nasa.gov/","2c06148b-41d8-4c6f-8615-c043ea2e86c2"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/SDO","Solar Dynamics Observatory Project, Goddard Space Flight Center, NASA","https://sdo.gsfc.nasa.gov/","82ac07a2-e50b-47d7-bcb7-bc2b0b6f8edb"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/SECPO/LWS/EPO","Education and Public Outreach, Living With a Star, Sun Earth Connection Program Office, Goddard Space Flight Center, NASA","http://stargazers.gsfc.nasa.gov/","d6a30226-b518-405e-918b-592c711ff305"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/SED/ASD/APL","Astroparticle Physics Laboratory Astrophysics Science Division, Science and Exploration Directorate, Goddard Space Flight Center, NASA","https://science.gsfc.nasa.gov/sed/index.cfm?fuseAction=home.main&&navOrgCode=660","fb68ddd3-a4ab-4506-9da7-2fe6d157aea8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/SED/ASD/JWST","","https://www.jwst.nasa.gov/","1da6fcb5-040c-4f4d-9025-32f0f59981d0"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/GSFC/SED/ESD/BSL/VCST","VIIRS Characterization Support Team (MCST), Biospheric Sciences Laboratory, Earth Sciences Division, Science and Exploration Directorate, Goddard Space Flight Center, NASA","https://mcst.gsfc.nasa.gov/","03c468fd-1d8e-4e1f-a53b-4deb1148c1ec"
